,Energy [MeV],norm_phi_n_mu_WS,norm_phi_n_mu_MK1,norm_phi_n_mu_avg,norm_phi_n_alpha_WS,norm_phi_n_alpha_MK1,norm_phi_n_alpha_avg
0,4.47216e-11,8020.3302207434435,17688.186469178203,12854.258344960825,14825.028621516225,33572.59132052521,24198.82115130049
1,2.42063e-10,20474.463259564658,65975.79968851083,43225.11081825806,35950.18652169063,98123.62897262281,67036.68053358009
2,3.5459e-10,11810.372542936913,27679.85560788516,19745.11407541104,57906.8783665642,121285.42824106714,89596.15330381568
3,5.19428e-10,42759.1504501105,68872.87554771788,55816.012998914186,82496.322878243,173063.83175339026,127779.98105608477
4,7.60893e-10,35414.30923927543,150161.7178762323,92788.21069453919,130035.10349024108,257500.06899787489,193767.06054596376
5,1.11461e-09,33235.57118633424,388361.84853895084,210798.39585146375,185022.56394613365,405503.2702021335,295262.9170741336
6,1.63275e-09,76092.48200888072,219499.61721022814,147796.04960955444,273043.63803399174,612327.6680447098,442685.6530393508
7,2.39176e-09,194956.85185804596,514606.39863531454,354781.4161956049,407460.1966752517,903533.7993778639,655497.2070776331
8,3.50361e-09,334991.90834596317,1286811.3174696954,810901.6129078293,588823.8131527196,1304191.6765850082,946507.7448688638
9,5.13233e-09,332964.1702696436,988858.4716882975,660911.3209789705,847152.0732298975,1873181.3815557456,1360166.6299711827
10,7.51818e-09,432222.8252050364,1351465.3812491854,891844.0367216535,1174594.2502041718,2644246.0808333936,1909420.0990133253
11,1.10131e-08,618230.3801835995,1972748.1817108716,1295489.2809472356,1578452.5701210378,3585099.926451226,2581776.2482861322
12,1.61328e-08,723651.6909649906,2544036.559059804,1633844.0940196372,1995645.7651492613,4599791.046811465,3297718.4369731233
13,2.36324e-08,935240.2210524534,3230558.259000355,2082899.2400264041,2334103.6035273606,5357624.6170511665,3845864.1102892635
14,3.46183e-08,922611.4511688903,3447464.6068697767,2185038.0290193334,2418177.4668311267,5483552.8029972585,3950865.1204709643
15,5.07112e-08,835373.329757529,2970672.001451356,1903022.6656044424,2115584.4665478235,4653923.590843837,3384754.0385555853
16,7.42852e-08,591925.5248690184,2064852.2316692958,1328388.8715383413,1469266.91992483,3020160.1261085654,2244713.5230166977
17,1.08818e-07,333699.075520594,829572.0377143488,581635.5566174714,774635.9242037163,1397424.4794059808,1086030.2063996766
18,1.59404e-07,182598.90592456903,306961.6885398108,244780.30036887407,396064.0699104163,546463.5642769316,471263.8202303581
19,2.33505e-07,113328.2456478448,127580.89548403675,120454.57270722256,230504.73437399627,242817.8797027901,236661.30917967495
20,3.42054e-07,68076.94399129962,71996.10003098926,70036.52054938694,141856.7039122478,133276.65222450256,137566.67953013268
21,4.69117e-07,49190.22120281295,49215.208572701486,49202.71488775722,99942.9502661383,91007.66120178974,95475.30573396402
22,5.76429e-07,41706.69935065724,38857.96863100226,40282.334858239265,80410.86239588918,71648.82058328086,76029.84062217551
23,6.53179e-07,40220.137205880776,36303.25684077413,38261.69702332745,70643.18816128504,62227.3205354122,66435.25434834861
24,7.54346e-07,30580.753394330983,29965.938707171506,30273.34671357706,61257.81140219474,53334.50432560124,57296.15720107218
25,8.54786e-07,29528.731167801066,24958.792025138457,27243.761596469758,54044.152571520826,46680.93183557054,50362.54220354568
26,9.93119e-07,24759.354115669925,21737.872299291426,23248.612704016337,46507.60885654187,39625.32183957814,43066.46534806
27,1.27519e-06,18930.15315364769,15059.42173323191,16994.7874434398,36218.839545479495,30541.643990307326,33380.241375794976
28,1.63738e-06,16350.520343475551,11987.054929216187,14168.787941711758,28303.215502815474,23316.851921972906,25810.03371239419
29,2.10243e-06,11531.05168780887,10189.602031934475,10860.326859871673,22150.566725170396,18143.45590578521,20147.011315477805
30,2.69958e-06,10013.356522125665,7477.6517087843295,8745.504115454996,17799.832196119398,14186.423814074784,15993.128190311087
31,3.46632e-06,8134.847330886935,5160.713667520598,6647.780354958572,13467.580027233493,10763.634921184426,12115.607618454154
32,4.45085e-06,5854.485098352,5720.239504813688,5787.362413920937,10544.495545794623,8351.422761944348,9447.959153869486
33,5.71501e-06,5399.982327240022,3612.456846094757,4506.219586667389,8262.68597955209,6547.161422289724,7404.923700920908
34,7.33822e-06,4217.332132315466,3435.032610088005,3826.1823712017354,6516.028001340925,5049.605898978226,5782.816950159576
35,9.42244e-06,3101.7016823667755,2061.600816773575,2581.6512495701754,5105.224124536745,3950.4596473949427,4527.841939030654
36,1.20987e-05,2579.192888492152,1499.9552844520485,2039.5740864721004,3995.9710547414184,3062.0401365435955,3529.005595642507
37,1.5535e-05,1857.7839716768588,1255.9318313485678,1556.857933698101,3123.8968780173805,2380.6856131316385,2752.291277759897
38,1.99474e-05,1547.3125319590522,1015.0742452650469,1281.1933886120496,2445.495252514112,1851.9246117288467,2148.709907055556
39,2.56129e-05,1303.7841478317566,896.3712035731994,1100.077695223891,1910.5745151857072,1438.1009178968409,1674.337697019861
40,3.28876e-05,964.2668361327673,594.5713277952784,779.4190819640229,1492.1800313796082,1114.5753414660846,1303.3776864228462
41,4.22285e-05,861.8902636844787,567.5194240856295,714.7048557253987,1166.0067489965309,858.580413701647,1012.2935931894339
42,5.42225e-05,762.8258379823874,401.66888284383793,582.2473511918485,912.0465673843884,665.3019687399143,788.6742588408871
43,6.96231e-05,514.4230578644157,434.74783512943264,474.58544649692413,709.6526583849326,517.9241803366986,613.7884121792911
44,8.93978e-05,445.5730454216994,245.60555181447415,345.5892986180868,555.1769730351306,399.5493289544038,477.363156587746
45,0.000114789,298.2816994659767,170.51411720635252,234.39791269198267,433.08675047260624,312.46494873202136,372.7758496023138
46,0.000147392,245.17509769865396,130.73266527355625,187.95387809379073,337.9834047980895,240.74330357142858,289.36335079244463
47,0.000189255,195.06518189743997,111.07642070222715,153.07079865789544,262.97249214023407,184.0822593854852,223.5273731209215
48,0.000243008,174.1789735317356,83.28988346062681,128.7344284961812,205.70303446800105,142.29625773637082,173.99964610218595
49,0.000312029,141.90683878742038,63.16262590977121,102.5347323485958,160.4223485637553,110.27083700553473,135.34659278464503
50,0.000400653,127.59517337945805,51.76762934509413,89.68140011431339,124.89789169181311,84.53774962373924,104.71782065777619
