Energy,Neutron
1.1294E-08,33610.99388
1.4219E-08,37552.14357
1.7901E-08,40736.82211
2.2536E-08,42575.22031
2.8371E-08,42454.5294
3.5717E-08,39905.53752
4.4965E-08,34832.59002
5.6608E-08,27723.64916
7.1265E-08,19691.58709
8.9717E-08,12195.61751
1.1295E-07,6472.108597
1.4219E-07,2989.608559
1.7901E-07,1351.493143
2.2536E-07,758.9156997
2.8371E-07,564.9097898
3.5717E-07,470.4175559
4.4965E-07,395.7967316
5.6608E-07,330.0794819
7.1264E-07,272.8137459
8.9717E-07,223.7995563
1.1294E-06,182.492366
1.4219E-06,148.0707675
1.7901E-06,119.6788812
2.2536E-06,96.43535213
2.8371E-06,77.51772169
3.5717E-06,62.19162445
4.4965E-06,49.82062627
5.6608E-06,39.86281184
7.1264E-06,31.86627385
8.9716E-06,25.45464729
0.000011294,20.322206
0.000014219,16.21554376
0.000017901,12.93439716
0.000022536,10.3144072
0.000028371,8.223303477
0.000035717,6.554973774
0.000044965,5.224454095
0.000056607,4.163675272
0.000071264,3.318075324
0.000089717,2.644139737
0.00011295,2.107095235
0.00014219,1.67933124
0.00017901,1.338456953
0.00022536,1.066940226
0.00028371,0.85066127
0.00035717,0.678379142
0.00044965,0.541148224
0.00056607,0.431837367
0.00071265,0.344749126
0.00089716,0.27537571
0.0011295,0.220088144
0.0014219,0.176043757
0.0017901,0.140928002
0.0022536,0.112934008
0.0028371,0.090608795
0.0035717,0.07279715
0.0044965,0.058580809
0.0056607,0.047228491
0.0071265,0.038156411
0.0089717,0.030902749
0.011294,0.025099033
0.014219,0.020447656
0.017901,0.016718131
0.022536,0.013723741
0.028371,0.01131586
0.035717,0.009376254
0.044965,0.007810856
0.056607,0.006544626
0.071264,0.005517546
0.089717,0.004681764
0.11294,0.003999184
0.14219,0.003438512
0.17901,0.002975339
0.22536,0.002589513
0.28371,0.002264623
0.35717,0.001987238
0.44965,0.001746342
0.56608,0.001532897
0.71264,0.001339676
0.89717,0.001161076
1.1294,0.000993347
1.4219,0.00083436
1.7901,0.000684113
2.2536,0.000544278
2.8371,0.00041791
3.5717,0.000308648
4.4965,0.000219567
5.6607,0.000151943
7.1265,0.000104462
8.9717,7.34203E-05
11.295,5.38979E-05
14.219,4.14265E-05
17.901,3.30453E-05
22.536,2.73377E-05
28.371,2.37288E-05
35.717,2.18106E-05
44.965,2.10127E-05
56.607,2.05935E-05
71.265,1.98287E-05
89.716,1.8249E-05
112.94,1.57626E-05
142.19,1.25949E-05
179.01,9.16574E-06
225.36,5.98852E-06
283.71,3.50081E-06
357.17,1.85267E-06
449.65,9.09025E-07
566.08,4.27748E-07
712.65,2.01383E-07
897.16,9.88947E-08
1129.4,5.18681E-08
1421.9,2.89329E-08
1790.1,1.68248E-08
2253.6,9.99485E-09
2837.1,5.98843E-09
3571.7,3.59667E-09
4496.5,2.16039E-09
5660.8,1.29688E-09
7126.5,7.7801E-10
8971.7,4.6646E-10
11294,2.79571E-10
14219,1.67454E-10
17901,1.00275E-10
22536,6.00359E-11
28371,3.59377E-11
35717,2.1509E-11
44965,1.28719E-11
56608,7.70228E-12
71264,4.60884E-12
89716,2.75757E-12
112940,1.65003E-12
142190,9.8708E-13
179010,5.90518E-13
225360,3.53288E-13
283710,2.11361E-13
357170,1.26449E-13
449650,7.56503E-14
566080,4.52585E-14
712640,2.7078E-14
897160,1.62002E-14
