Energy [MeV],norm_phi_n_mu_WS,norm_phi_n_mu_MK1,norm_phi_n_mu_avg,norm_phi_n_alpha_WS,norm_phi_n_alpha_MK1,norm_phi_n_alpha_avg
4.47216E-11,3.58682E-07,7.91044E-07,5.74863E-07,6.62999E-07,1.50142E-06,1.08221E-06
2.42063E-10,4.95611E-06,1.59703E-05,1.04632E-05,8.70221E-06,2.37521E-05,1.62271E-05
3.5459E-10,4.18784E-06,9.815E-06,7.00142E-06,2.05332E-05,4.30066E-05,3.17699E-05
5.19428E-10,2.22103E-05,3.57745E-05,2.89924E-05,4.28509E-05,8.98942E-05,6.63725E-05
7.60893E-10,2.69465E-05,0.000114257,7.06019E-05,9.89428E-05,0.00019593,0.000147436
1.11461E-09,3.70447E-05,0.000432872,0.000234958,0.000206228,0.000451978,0.000329103
1.63275E-09,0.00012424,0.000358388,0.000241314,0.000445812,0.000999778,0.000722795
2.39176E-09,0.00046629,0.001230815,0.000848552,0.000974547,0.002161036,0.001567792
3.50361E-09,0.001173681,0.004508485,0.002841083,0.002063009,0.004569379,0.003316194
5.13233E-09,0.001708882,0.005075148,0.003392015,0.004347864,0.009613785,0.006980824
7.51818E-09,0.003249529,0.01016056,0.006705044,0.008830811,0.019879918,0.014355364
1.10131E-08,0.006808633,0.021726073,0.014267353,0.017383656,0.039483064,0.02843336
1.61328E-08,0.011674528,0.041042433,0.02635848,0.032195354,0.074207509,0.053201432
2.36324E-08,0.022101971,0.076345845,0.049223908,0.05516047,0.126613528,0.090886999
3.46183E-08,0.03193924,0.119345364,0.075642302,0.083713193,0.189831276,0.136772234
5.07112E-08,0.042362784,0.150646342,0.096504563,0.107283827,0.23600605,0.171644939
7.42852E-08,0.043971306,0.153387961,0.098679633,0.109144787,0.224353199,0.166748993
1.08818E-07,0.036312466,0.09027237,0.063292418,0.084294332,0.152064937,0.118179635
1.59404E-07,0.029106996,0.048930921,0.039018959,0.063134197,0.087108478,0.075121338
2.33505E-07,0.026462712,0.029790777,0.028126745,0.053824008,0.056699189,0.055261599
3.42054E-07,0.023285991,0.024626554,0.023956272,0.048522653,0.045587812,0.047055233
4.69117E-07,0.023075969,0.023087691,0.02308183,0.046884937,0.042693241,0.044789089
5.76429E-07,0.024040951,0.02239886,0.023219906,0.046351153,0.041300458,0.043825805
6.53179E-07,0.026270949,0.023712525,0.024991737,0.046142647,0.040645579,0.043394113
7.54346E-07,0.023068469,0.022604686,0.022836578,0.046209585,0.04023267,0.043221127
8.54786E-07,0.025240746,0.021334426,0.023287586,0.046196185,0.039902207,0.043049196
9.93119E-07,0.024588985,0.021588294,0.023088639,0.04618759,0.03935266,0.042770125
1.27519E-06,0.024139542,0.019203624,0.021671583,0.046185902,0.038946399,0.04256615
1.63738E-06,0.026772015,0.019627364,0.02319969,0.046343119,0.038178547,0.042260833
2.10243E-06,0.024243229,0.021422925,0.022833077,0.046570016,0.038145346,0.042357681
2.69958E-06,0.027031857,0.020186519,0.023609188,0.048052071,0.038297386,0.043174729
3.46632E-06,0.028197984,0.017888685,0.023043334,0.046682942,0.037310203,0.041996573
4.45085E-06,0.026057435,0.025459928,0.025758682,0.046931968,0.03717093,0.042051449
5.71501E-06,0.030860953,0.020645227,0.02575309,0.047221333,0.037417093,0.042319213
7.33822E-06,0.030947711,0.025207025,0.028077368,0.047816047,0.037055119,0.042435583
9.42244E-06,0.029225598,0.01942531,0.024325454,0.048103668,0.037222969,0.042663319
1.20987E-05,0.031204881,0.018147509,0.024676195,0.048346055,0.037046705,0.04269638
1.5535E-05,0.028860674,0.019510901,0.024185788,0.048529738,0.036983951,0.042756845
1.99474E-05,0.030864862,0.020248092,0.025556477,0.048781272,0.036941081,0.042861176
2.56129E-05,0.033393693,0.022958666,0.02817618,0.048935354,0.036833935,0.042884644
3.28876E-05,0.031712422,0.019554024,0.025633223,0.04907422,0.036655708,0.042864964
4.22285E-05,0.036396333,0.023965494,0.030180914,0.049238716,0.036256563,0.04274764
5.42225E-05,0.041362324,0.021779491,0.031570907,0.049453445,0.036074336,0.04276389
