,CFC12NH,CFC12SH
1977-12-31,266.08299999999997,243.8904
1978-12-31,283.0423333333333,258.22075
1979-12-31,297.364,275.4306666666667
1980-12-31,313.64141666666666,290.0255
1981-12-31,329.2965,309.1661666666667
1982-12-31,343.62875,327.0171666666667
1983-12-31,360.8040833333334,344.4859166666667
1984-12-31,374.0925,360.7730833333333
1985-12-31,390.3433333333333,376.83908333333335
1986-12-31,409.74541666666664,395.4060833333333
1987-12-31,430.5806666666667,416.2005833333333
1988-12-31,458.51366666666667,437.0229166666666
1989-12-31,477.19575000000003,456.33275000000003
1990-12-31,490.80766666666665,472.7606666666666
1991-12-31,501.00033333333334,486.55133333333333
1992-12-31,512.1253333333333,499.72683333333333
1993-12-31,517.6745,506.1963333333333
1994-12-31,522.0091666666667,511.3545833333333
1995-12-31,528.36375,519.2795833333333
1996-12-31,533.5645000000001,525.9351666666666
1997-12-31,536.8980833333334,530.5870833333333
1998-12-31,539.8736666666667,533.3184166666666
1999-12-31,542.1633333333333,536.7954166666667
2000-12-31,544.4099166666666,538.96425
2001-12-31,544.9525,539.9675833333333
2002-12-31,545.49625,540.8644166666667
2003-12-31,544.7514166666666,540.7789166666666
2004-12-31,544.0767500000001,540.6669166666667
2005-12-31,543.2036666666667,539.87425
2006-12-31,541.4266666666666,538.7566666666667
2007-12-31,539.0964166666666,536.6405
2008-12-31,536.4316666666667,534.5696666666666
2009-12-31,533.8598333333333,532.0828333333333
2010-12-31,530.2934166666666,528.57225
2011-12-31,527.5295,525.9460833333334
2012-12-31,524.8081666666667,523.3501666666667
2013-12-31,521.2975833333334,520.0936666666666
2014-12-31,518.5874166666666,516.9918333333334
2015-12-31,515.7421666666667,513.9415833333334
2016-12-31,512.5690833333333,511.3120833333333
2017-12-31,508.8915833333333,507.99916666666667
2018-12-31,505.87716666666665,505.376
2019-12-31,501.6334166666666,501.06125
2020-12-31,497.6209166666667,496.7635833333333
2021-12-31,493.421,493.1624166666666
2022-12-31,489.73991666666666,489.81766666666664
2023-12-31,487.70050000000003,487.582
