,CFC11NH,CFC11SH,CFC12NH,CFC12SH,CFC113NH,CFC113SH,SF6NH,SF6SH
1765-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1766-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1767-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1769-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1770-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1771-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1782-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1783-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1786-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1787-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1788-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1789-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1790-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1791-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1792-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1793-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1794-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1795-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1796-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1797-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1798-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1799-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1800-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1801-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1802-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1803-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1804-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1805-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1806-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1807-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1808-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1809-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1810-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1811-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1812-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1813-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1814-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1815-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1816-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1817-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1818-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1819-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1820-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1821-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1822-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1823-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1824-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1825-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1826-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1827-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1828-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1829-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1830-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1831-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1832-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1833-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1834-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1835-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1836-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1837-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1838-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1840-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1841-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1842-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1843-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1844-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1845-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1846-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1847-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1848-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1849-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1850-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1851-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1852-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1853-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1854-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1855-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1856-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1857-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1858-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1859-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1860-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1861-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1862-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1863-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1864-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1865-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1866-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1867-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1868-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1869-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1870-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1871-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1872-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1873-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1874-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1875-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1876-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1877-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1878-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1879-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1880-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1881-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1882-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1883-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1884-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1885-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1886-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1887-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1888-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1889-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1890-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
