Incident energy;xsec
1.00000E-05;1.27340E-10
1.06250E-05;1.23660E-10
1.12500E-05;1.20290E-10
1.18750E-05;1.17190E-10
1.25000E-05;1.14330E-10
1.37500E-05;1.09220E-10
1.50000E-05;1.04760E-10
1.62500E-05;1.00840E-10
1.75000E-05;9.73580E-11
1.87500E-05;9.42340E-11
2.00000E-05;9.14130E-11
2.13544E-05;8.86460E-11
2.27088E-05;8.61360E-11
2.40633E-05;8.38460E-11
2.54177E-05;8.17460E-11
2.81265E-05;7.80240E-11
3.08353E-05;7.48170E-11
3.35442E-05;7.20200E-11
3.62530E-05;6.95540E-11
3.89618E-05;6.73600E-11
4.16707E-05;6.53920E-11
4.58353E-05;6.27300E-11
5.00000E-05;6.04240E-11
5.31250E-05;5.88850E-11
5.62500E-05;5.74840E-11
5.93750E-05;5.62020E-11
6.25000E-05;5.50240E-11
6.87500E-05;5.29310E-11
7.50000E-05;5.11270E-11
8.12500E-05;4.95530E-11
8.75000E-05;4.81680E-11
9.37500E-05;4.69380E-11
1.00000E-04;4.58390E-11
1.06250E-04;4.48510E-11
1.12500E-04;4.39580E-11
1.18750E-04;4.31470E-11
1.25000E-04;4.24070E-11
1.37500E-04;4.11080E-11
1.50000E-04;4.00060E-11
1.62500E-04;3.90620E-11
1.75000E-04;3.82450E-11
1.87500E-04;3.75340E-11
2.00000E-04;3.69120E-11
2.14051E-04;3.63010E-11
2.28102E-04;3.57690E-11
2.42153E-04;3.53040E-11
2.56204E-04;3.48960E-11
2.70255E-04;3.45380E-11
2.84306E-04;3.42220E-11
3.12408E-04;3.37010E-11
3.40510E-04;3.32970E-11
3.68612E-04;3.29860E-11
3.96714E-04;3.27520E-11
4.24816E-04;3.25810E-11
4.62408E-04;3.24300E-11
5.00000E-04;3.23540E-11
5.31250E-04;3.23370E-11
5.62500E-04;3.23560E-11
5.93750E-04;3.24040E-11
6.25000E-04;3.24780E-11
6.87500E-04;3.26900E-11
7.50000E-04;3.29720E-11
8.12500E-04;3.33090E-11
8.75000E-04;3.36900E-11
9.37500E-04;3.41050E-11
1.00000E-03;3.45500E-11
1.06250E-03;3.50200E-11
1.12500E-03;3.55090E-11
1.18750E-03;3.60160E-11
1.25000E-03;3.65380E-11
1.37500E-03;3.76190E-11
1.50000E-03;3.87380E-11
1.62500E-03;3.98880E-11
1.75000E-03;4.10620E-11
1.87500E-03;4.22550E-11
2.00000E-03;4.34640E-11
2.12832E-03;4.47190E-11
2.25663E-03;4.59850E-11
2.38495E-03;4.72610E-11
2.51326E-03;4.85450E-11
2.76990E-03;5.11320E-11
3.02653E-03;5.37400E-11
3.28316E-03;5.63650E-11
3.53979E-03;5.90020E-11
3.79642E-03;6.16490E-11
4.05305E-03;6.43040E-11
4.28979E-03;6.67590E-11
4.52653E-03;6.92200E-11
5.00000E-03;7.41510E-11
5.31250E-03;7.74130E-11
5.62500E-03;8.06800E-11
5.93750E-03;8.39500E-11
6.25000E-03;8.72230E-11
6.87500E-03;9.37770E-11
7.50000E-03;1.00340E-10
8.12500E-03;1.06910E-10
8.75000E-03;1.13480E-10
9.37500E-03;1.20060E-10
1.00000E-02;1.26640E-10
1.06250E-02;1.33220E-10
1.12500E-02;1.39810E-10
1.18750E-02;1.46400E-10
1.25000E-02;1.52990E-10
1.37500E-02;1.66170E-10
1.50000E-02;1.79350E-10
1.62500E-02;1.92540E-10
1.75000E-02;2.05730E-10
1.87500E-02;2.18930E-10
2.00000E-02;2.32120E-10
2.13250E-02;2.46110E-10
2.26500E-02;2.60100E-10
2.39750E-02;2.74090E-10
2.53000E-02;2.88080E-10
2.68438E-02;3.04380E-10
2.83875E-02;3.20690E-10
2.99313E-02;3.36990E-10
3.14750E-02;3.53290E-10
3.45625E-02;3.85900E-10
3.76500E-02;4.18520E-10
4.07375E-02;4.51130E-10
4.38250E-02;4.83740E-10
4.69125E-02;5.16360E-10
5.00000E-02;5.48970E-10
5.41816E-02;5.93140E-10
5.83633E-02;6.37320E-10
6.25449E-02;6.81490E-10
6.67265E-02;7.25670E-10
7.09081E-02;7.69850E-10
7.50897E-02;8.14020E-10
7.92714E-02;8.58200E-10
8.34530E-02;9.02370E-10
9.17265E-02;9.89780E-10
1.00000E-01;1.07719E-09
1.06250E-01;1.14322E-09
1.12500E-01;1.20925E-09
1.18750E-01;1.27528E-09
1.25000E-01;1.34131E-09
1.37500E-01;1.47337E-09
1.50000E-01;1.60543E-09
1.62500E-01;1.73749E-09
1.75000E-01;1.86955E-09
1.87500E-01;2.00161E-09
2.00000E-01;2.13367E-09
2.13705E-01;2.27846E-09
2.27409E-01;2.42325E-09
2.41114E-01;2.56804E-09
2.54818E-01;2.71282E-09
2.82228E-01;3.00240E-09
2.95932E-01;3.14719E-09
3.09637E-01;3.29198E-09
3.37046E-01;3.58155E-09
3.64455E-01;3.87113E-09
3.91864E-01;4.16071E-09
4.19273E-01;4.45028E-09
5.00000E-01;5.30316E-09
5.62500E-01;5.96347E-09
6.25000E-01;6.62378E-09
7.50000E-01;7.94441E-09
8.75000E-01;9.26503E-09
1.00000E+00;1.05857E-08
1.25000E+00;1.32269E-08
1.37500E+00;1.45475E-08
1.50000E+00;1.58682E-08
1.75000E+00;1.85094E-08
2.00000E+00;2.11507E-08
2.38769E+00;2.52466E-08
2.91577E+00;3.08257E-08
3.17980E+00;3.36153E-08
3.44384E+00;3.64049E-08
3.97192E+00;4.19840E-08
4.50000E+00;4.75632E-08
5.00000E+00;5.28457E-08
5.17727E+00;5.47185E-08
5.78011E+00;6.10876E-08
6.38295E+00;6.74566E-08
7.58864E+00;8.01946E-08
8.79432E+00;9.29326E-08
1.00000E+01;1.05671E-07
1.12500E+01;1.18877E-07
1.25000E+01;1.32083E-07
1.50000E+01;1.58496E-07
1.75000E+01;1.84908E-07
1.87500E+01;1.98114E-07
2.00000E+01;2.11321E-07
2.25973E+01;2.38761E-07
2.51946E+01;2.66202E-07
2.77919E+01;2.93642E-07
3.03892E+01;3.21083E-07
3.55838E+01;3.75964E-07
4.07784E+01;4.30845E-07
4.53892E+01;4.79558E-07
5.00000E+01;5.28271E-07
5.31250E+01;5.61286E-07
5.62500E+01;5.94302E-07
6.25000E+01;6.60333E-07
6.87500E+01;7.26364E-07
7.50000E+01;7.92396E-07
8.75000E+01;9.24458E-07
1.00000E+02;1.05652E-06
1.12500E+02;1.18858E-06
1.25000E+02;1.32065E-06
1.31250E+02;1.38668E-06
1.37500E+02;1.45271E-06
1.50000E+02;1.58477E-06
1.62500E+02;1.71683E-06
1.75000E+02;1.84890E-06
1.87500E+02;1.98096E-06
2.00000E+02;2.11302E-06
2.25000E+02;2.37715E-06
2.50000E+02;2.64127E-06
2.75000E+02;2.90540E-06
3.00000E+02;3.16952E-06
3.25000E+02;3.43365E-06
3.50000E+02;3.69777E-06
3.75000E+02;3.96190E-06
4.00000E+02;4.22602E-06
4.50000E+02;4.75427E-06
5.00000E+02;5.28252E-06
5.50000E+02;5.81077E-06
6.00000E+02;6.33902E-06
6.40514E+02;6.76705E-06
6.81028E+02;7.19508E-06
7.62055E+02;8.05113E-06
8.43083E+02;8.90719E-06
8.83596E+02;9.33522E-06
9.24110E+02;9.76324E-06
9.43083E+02;9.96369E-06
9.62055E+02;1.01641E-05
9.81028E+02;1.03646E-05
1.00000E+03;1.05650E-05
1.01218E+03;1.06938E-05
1.01828E+03;1.07581E-05
1.02437E+03;1.08225E-05
1.03046E+03;1.08868E-05
1.03655E+03;1.09512E-05
1.04264E+03;1.10155E-05
1.04873E+03;1.10799E-05
1.05178E+03;1.11121E-05
1.05483E+03;1.11443E-05
1.05787E+03;1.11764E-05
1.06092E+03;1.12086E-05
1.06396E+03;1.12408E-05
1.06701E+03;1.12730E-05
1.07006E+03;1.13052E-05
1.07310E+03;1.13373E-05
1.07539E+03;1.13615E-05
1.07767E+03;1.13856E-05
1.07996E+03;1.14098E-05
1.08224E+03;1.14339E-05
1.08452E+03;1.14580E-05
1.08567E+03;1.14701E-05
1.08681E+03;1.14822E-05
1.08795E+03;1.14942E-05
1.08909E+03;1.15063E-05
1.09024E+03;1.15184E-05
1.09138E+03;1.15304E-05
1.09257E+03;1.15431E-05
1.09377E+03;1.15557E-05
1.09497E+03;1.15684E-05
1.09616E+03;1.15810E-05
1.09736E+03;1.15936E-05
1.09796E+03;1.16000E-05
1.09856E+03;1.16063E-05
1.09916E+03;1.16126E-05
1.09975E+03;1.16189E-05
