Incident energy [eV];xsec [barns]
1.00E-05;8.85E-20
1.03E-05;8.72E-20
1.06E-05;8.59E-20
1.09E-05;8.47E-20
1.13E-05;8.35E-20
1.16E-05;8.22E-20
1.19E-05;8.11E-20
1.23E-05;7.99E-20
1.27E-05;7.87E-20
1.31E-05;7.76E-20
1.34E-05;7.65E-20
1.38E-05;7.53E-20
1.43E-05;7.43E-20
1.47E-05;7.32E-20
1.51E-05;7.21E-20
1.56E-05;7.11E-20
1.61E-05;7.01E-20
1.65E-05;6.90E-20
1.70E-05;6.80E-20
1.75E-05;6.71E-20
1.81E-05;6.61E-20
1.86E-05;6.51E-20
1.92E-05;6.42E-20
1.98E-05;6.33E-20
2.03E-05;6.24E-20
2.10E-05;6.15E-20
2.16E-05;6.06E-20
2.22E-05;5.97E-20
2.29E-05;5.89E-20
2.36E-05;5.80E-20
2.43E-05;5.72E-20
2.50E-05;5.64E-20
2.58E-05;5.56E-20
2.66E-05;5.48E-20
2.74E-05;5.40E-20
2.82E-05;5.32E-20
2.90E-05;5.25E-20
2.99E-05;5.17E-20
3.08E-05;5.10E-20
3.17E-05;5.03E-20
3.27E-05;4.95E-20
3.37E-05;4.88E-20
3.47E-05;4.82E-20
3.57E-05;4.75E-20
3.68E-05;4.68E-20
3.79E-05;4.61E-20
3.90E-05;4.55E-20
4.02E-05;4.49E-20
4.14E-05;4.42E-20
4.27E-05;4.36E-20
4.39E-05;4.30E-20
4.53E-05;4.24E-20
4.66E-05;4.18E-20
4.80E-05;4.12E-20
4.95E-05;4.06E-20
5.09E-05;4.01E-20
5.25E-05;3.95E-20
5.41E-05;3.90E-20
5.57E-05;3.84E-20
5.74E-05;3.79E-20
5.91E-05;3.74E-20
6.08E-05;3.69E-20
6.27E-05;3.63E-20
6.46E-05;3.58E-20
6.65E-05;3.54E-20
6.85E-05;3.49E-20
7.06E-05;3.44E-20
7.27E-05;3.39E-20
7.49E-05;3.35E-20
7.71E-05;3.30E-20
7.94E-05;3.26E-20
8.18E-05;3.21E-20
8.43E-05;3.17E-20
8.68E-05;3.13E-20
8.94E-05;3.09E-20
9.21E-05;3.04E-20
