Year 	SF6 (ppt)
1954.5	0.054
1955	0.054
1955.5	0.055
1956	0.055
1956.5	0.055
1957	0.056
1957.5	0.056
1958	0.057
1958.5	0.058
1959	0.059
1959.5	0.06
1960	0.061
1960.5	0.062
1961	0.064
1961.5	0.066
1962	0.069
1962.5	0.072
1963	0.076
1963.5	0.079
1964	0.084
1964.5	0.088
1965	0.095
1965.5	0.1
1966	0.11
1966.5	0.12
1967	0.13
1967.5	0.14
1968	0.15
1968.5	0.16
1969	0.18
1969.5	0.19
1970	0.2
1970.5	0.21
1971	0.22
1971.5	0.23
1972	0.25
1972.5	0.26
1973	0.27
1973.5	0.28
1974	0.3
1974.5	0.32
1975	0.34
1975.5	0.36
1976	0.39
1976.5	0.42
1977	0.45
1977.5	0.48
1978	0.52
1978.315297	0.569
1978.512557	0.58
1979.098973	0.632
1981.381427	0.868
1984.052768	1.17
1984.391006	1.222
1986.09863	1.443
1986.86376	1.564
1987.403634	1.716
1988.471169	1.845
1988.471471	1.857
1989.299047	2.01
1989.852325	2.105
1990.126798	2.135
1990.315993	2.181
1990.867159	2.305
1990.871994	2.292
1991.657626	2.434
1992.210847	2.553
1992.727543	2.676
1993.164741	2.708
1994.112726	2.919
1994.318381	2.968
1994.758847	3.095
1995.194912	3.199
1995.446895	3.278
1995.583914	3.275
1995.811275	3.344
1995.923898	3.371
1996.404967	3.463
1996.637105	3.556
1996.754275	3.583
1996.885641	3.616
1997.016733	3.617
1997.017298	3.633
1997.017589	3.643
1997.194526	3.649
1997.255375	3.709
1997.408758	3.739
1997.534869	3.766
1998.285369	3.93
1998.479962	3.978
1998.786834	4.059
1999.129094	4.125
1999.28001	4.154
1999.589648	4.244
1999.874239	4.261
2000.199837	4.334
2000.743712	4.449
2001.038765	4.507
2001.534247	4.607
2001.619178	4.618
2001.70411	4.64
2001.786301	4.66
2001.871233	4.667
2001.953425	4.685
2002.038356	4.706
2002.123288	4.719
2002.2	4.728
2002.284932	4.742
2002.367123	4.761
2002.452055	4.781
2002.534247	4.81
2002.619178	4.827
2002.70411	4.843
2002.786301	4.869
2002.871233	4.89
2002.953425	4.902
2003.038356	4.916
2003.123288	4.923
2003.2	4.945
2003.284932	5.028
2003.367123	5.048
2003.452055	5.006
2003.534247	5.031
2003.619178	5.053
2003.70411	5.054
2003.786301	5.076
2003.871233	5.089
2003.953425	5.096
2004.038251	5.109
2004.122951	5.126
2004.202186	5.149
2004.286885	5.183
2004.368852	5.216
2004.453552	5.242
2004.535519	5.27
2004.620219	5.296
2004.704918	5.334
2004.786885	5.357
2004.871585	5.348
2004.953552	5.342
2005.038356	5.358
2005.123288	5.377
2005.2	5.391
2005.284932	5.418
2005.367123	5.448
2005.452055	5.466
2005.534247	5.479
2005.619178	5.497
2005.70411	5.514
2005.786301	5.534
2005.871233	5.555
2005.953425	5.563
2006.038356	5.577
2006.123288	5.594
2006.2	5.603
2006.284932	5.623
2006.367123	5.664
2006.452055	5.701
2006.534247	5.728
2006.619178	5.734
2006.70411	5.746
2006.786301	5.771
2006.871233	5.786
2006.953425	5.801
2007.038356	5.82
2007.123288	5.838
2007.2	5.856
2007.284932	5.882
2007.367123	5.905
2007.452055	5.924
2007.534247	5.965
2007.619178	5.995
2007.70411	6.01
2007.786301	6.035
2007.871233	6.055
2007.953425	6.069
2008.038251	6.091
2008.122951	6.113
2008.202186	6.142
2008.286885	6.174
2008.368852	6.201
2008.453552	6.23
2008.535519	6.254
2008.620219	6.267
2008.704918	6.298
2008.786885	6.339
2008.871585	6.34
2008.953552	6.344
2009.038356	6.366
2009.123288	6.381
