,SF6NH,SF6SH
1994-12-31,3.531,3.127
1995-12-31,3.6118333333333332,3.312
1996-12-31,3.84675,3.5591666666666666
1997-12-31,4.112666666666667,3.8273333333333333
1998-12-31,4.344916666666667,4.0535000000000005
1999-12-31,4.506166666666666,4.26325
2000-12-31,4.70225,4.46375
2001-12-31,4.908416666666667,4.658916666666666
2002-12-31,5.1187499999999995,4.868916666666666
2003-12-31,5.360250000000001,5.08925
2004-12-31,5.590416666666667,5.322416666666666
2005-12-31,5.813416666666666,5.5395
2006-12-31,6.053666666666667,5.7739166666666675
2007-12-31,6.334583333333334,6.039833333333333
2008-12-31,6.634666666666667,6.316583333333334
2009-12-31,6.919416666666667,6.600333333333334
2010-12-31,7.2250000000000005,6.883416666666666
2011-12-31,7.4830000000000005,7.166916666666666
2012-12-31,7.77675,7.447166666666667
2013-12-31,8.11,7.747833333333333
2014-12-31,8.441916666666666,8.079083333333333
2015-12-31,8.77425,8.41675
2016-12-31,9.1135,8.734666666666667
2017-12-31,9.459249999999999,9.076666666666666
2018-12-31,9.796416666666667,9.436166666666667
2019-12-31,10.14175,9.775666666666666
2020-12-31,10.462,10.10375
2021-12-31,10.865833333333335,10.456999999999999
2022-12-31,11.255583333333334,10.838166666666666
2023-12-31,11.486,11.192333333333332
