Incident energy [eV];xsec[b]
1.00E-05;6.3376E-20
0.0253;3.69421E-20
1;3.69421E-20
1000;3.69421E-20
2000;3.69421E-20
3000;3.69421E-20
5000;3.69421E-20
10000;3.69421E-20
15000;3.69421E-20
20000;3.69421E-20
50000;3.69421E-20
100000;1.05E-07
200000;1.80909E-06
300000;1.6764E-05
400000;9.70665E-05
500000;0.000393127
600000;0.00121688
700000;0.00307239
800000;0.006638829
900000;0.01265607
1000000;0.02187331
1200000;0.05247442
1400000;0.101839
1600000;0.169988
1800000;0.2537705
2000000;0.3482806
2200000;0.44912
2400000;0.5544345
2600000;0.663942
2800000;0.7741034
3000000;0.8260662
3200000;0.8776263
3400000;0.9413773
3600000;1.020988
3800000;1.085463
4000000;1.156624
4200000;1.185753
4400000;1.206522
4600000;1.262183
4800000;1.284267
5000000;1.288038
5200000;1.329099
5400000;1.346163
5600000;1.359399
5800000;1.363722
6000000;1.369917
6200000;1.371864
6400000;1.376515
6600000;1.379758
6800000;1.377896
7000000;1.37834
7200000;1.374527
7400000;1.372909
7600000;1.367187
7800000;1.361424
8000000;1.356274
8500000;1.327928
9000000;1.28212
9500000;1.205103
1.00E+07;1.107583
1.05E+07;1.005317
1.10E+07;0.8988532
1.15E+07;0.7978719
1.20E+07;0.6992476
1.25E+07;0.6115249
1.30E+07;0.5326572
1.35E+07;0.4641
1.40E+07;0.4044717
1.45E+07;0.354
1.50E+07;0.3122816
1.60E+07;0.2499001
1.70E+07;0.2062544
1.80E+07;0.1772442
1.90E+07;0.1567044
2.00E+07;0.1417162
2.10E+07;0.1299054
2.20E+07;0.1197881
2.30E+07;0.1096482
2.40E+07;0.1024371
2.50E+07;0.09687809
2.60E+07;0.09075272
2.70E+07;0.08645968
2.80E+07;0.08129074
2.90E+07;0.07867117
3.00E+07;0.07443391
3.20E+07;0.06740346
3.40E+07;0.06052262
3.60E+07;0.05518745
3.80E+07;0.04983897
4.00E+07;0.0451536
4.20E+07;0.04152699
4.40E+07;0.03671916
4.60E+07;0.03434578
4.80E+07;0.0314374
5.00E+07;0.02823774
5.20E+07;0.02496152
5.40E+07;0.02223771
5.60E+07;0.02015875
5.80E+07;0.01847822
6.00E+07;0.01700889
