Incident energy [eV];xsec[b]
9.997893E+05;0.000000E+00
9.998270E+05;6.872740E-09
9.998459E+05;8.091500E-08
9.998647E+05;7.257225E-07
9.998790E+05;3.243446E-06
9.998808E+05;3.875516E-06
9.998826E+05;4.620031E-06
9.998844E+05;5.494829E-06
9.998862E+05;6.520173E-06
9.998880E+05;7.718999E-06
9.998898E+05;9.117199E-06
9.998916E+05;1.074390E-05
9.998933E+05;1.251945E-05
9.998951E+05;1.468746E-05
9.998969E+05;1.719148E-05
9.998987E+05;2.007646E-05
9.999005E+05;2.339213E-05
9.999023E+05;2.719339E-05
9.999041E+05;3.154059E-05
9.999059E+05;3.649987E-05
9.999076E+05;4.181062E-05
9.999094E+05;4.817245E-05
9.999112E+05;5.537736E-05
9.999130E+05;6.351691E-05
9.999148E+05;7.268966E-05
9.999166E+05;8.300122E-05
9.999184E+05;9.456434E-05
9.999202E+05;1.074989E-04
9.999219E+05;1.210885E-04
9.999244E+05;1.437389E-04
9.999269E+05;1.699027E-04
9.999294E+05;1.999810E-04
9.999318E+05;2.329297E-04
9.999343E+05;2.719176E-04
9.999368E+05;3.161105E-04
9.999393E+05;3.659651E-04
9.999417E+05;4.195768E-04
9.999442E+05;4.818509E-04
9.999467E+05;5.511185E-04
9.999492E+05;6.277983E-04
9.999516E+05;7.087462E-04
9.999541E+05;8.010482E-04
9.999566E+05;9.017953E-04
9.999615E+05;1.124654E-03
9.999665E+05;1.387582E-03
9.999714E+05;1.679990E-03
9.999764E+05;2.012323E-03
9.999813E+05;2.368375E-03
9.999912E+05;3.160560E-03
1.000001E+06;7.822151E-03
1.077210E+06;1.256990E-02
1.106680E+06;1.438208E-02
1.224740E+06;2.164185E-02
1.355400E+06;2.967642E-02
1.500000E+06;3.856820E-02
1.732050E+06;7.014733E-02
2.000000E+06;1.066120E-01
2.300000E+06;1.544830E-01
2.500000E+06;1.878620E-01
2.588310E+06;2.012042E-01
2.588314E+06;2.012048E-01
2.628736E+06;2.073119E-01
2.669157E+06;2.134189E-01
2.750000E+06;2.256330E-01
2.886850E+06;2.437147E-01
2.943425E+06;2.511899E-01
3.000000E+06;2.586650E-01
3.097150E+06;2.682424E-01
3.097154E+06;2.682428E-01
3.135366E+06;2.720099E-01
3.173577E+06;2.757769E-01
3.250000E+06;2.833110E-01
3.375000E+06;2.848740E-01
3.500000E+06;2.864370E-01
3.691140E+06;2.938158E-01
3.750000E+06;2.960880E-01
3.824185E+06;2.984774E-01
3.898360E+06;3.008664E-01
3.898370E+06;3.008667E-01
3.949185E+06;3.025034E-01
4.000000E+06;3.041400E-01
4.125000E+06;3.061305E-01
4.250000E+06;3.081210E-01
4.500000E+06;3.121020E-01
4.750000E+06;3.160830E-01
5.000000E+06;3.200640E-01
5.250000E+06;3.236468E-01
5.500000E+06;3.272295E-01
6.000000E+06;3.343950E-01
6.545280E+06;3.378679E-01
6.600000E+06;3.382164E-01
7.000000E+06;3.407640E-01
7.404070E+06;3.465551E-01
7.500000E+06;3.479300E-01
8.000000E+06;3.550960E-01
8.500000E+06;3.590765E-01
8.655040E+06;3.603108E-01
8.768890E+06;3.612171E-01
9.000000E+06;3.630570E-01
9.500000E+06;3.662420E-01
1.000000E+07;3.694270E-01
1.050000E+07;3.726115E-01
1.100000E+07;3.757960E-01
1.150000E+07;3.773885E-01
1.200000E+07;3.789810E-01
1.250000E+07;3.805735E-01
1.300000E+07;3.821660E-01
1.342370E+07;3.835151E-01
1.350000E+07;3.837580E-01
1.355750E+07;3.839411E-01
1.400000E+07;3.853500E-01
1.450000E+07;3.861465E-01
1.500000E+07;3.869430E-01
1.600000E+07;3.885350E-01
1.700000E+07;3.885350E-01
1.800000E+07;3.885350E-01
1.900000E+07;3.885350E-01
2.000000E+07;3.885350E-01
