Incident energy [eV];Computed function [b]
1.016703E+05;0.000000E+00
1.016887E+05;1.002320E-15
1.017071E+05;1.013250E-15
1.017255E+05;1.024170E-15
1.017439E+05;1.035090E-15
1.017623E+05;1.046010E-15
1.017806E+05;1.056870E-15
1.017942E+05;1.064940E-15
1.018077E+05;1.072960E-15
1.018213E+05;1.081030E-15
1.018348E+05;1.089040E-15
1.018484E+05;1.097110E-15
1.018552E+05;1.101150E-15
1.018619E+05;1.105130E-15
1.018687E+05;1.109160E-15
1.018755E+05;1.113200E-15
1.018823E+05;1.117230E-15
1.018890E+05;1.121210E-15
1.018958E+05;1.125250E-15
1.019026E+05;1.129280E-15
1.019094E+05;1.133320E-15
1.019161E+05;1.137290E-15
1.019195E+05;1.139310E-15
1.019229E+05;1.141330E-15
1.019263E+05;1.143350E-15
1.019297E+05;1.145370E-15
1.019331E+05;1.147390E-15
1.019365E+05;1.149400E-15
1.019399E+05;1.151420E-15
1.019432E+05;1.153380E-15
1.019474E+05;1.155870E-15
1.019515E+05;1.158310E-15
1.019556E+05;1.160740E-15
1.019577E+05;1.161990E-15
1.019597E+05;1.163170E-15
1.019618E+05;1.164420E-15
1.019638E+05;1.165610E-15
1.019679E+05;1.168040E-15
1.019720E+05;1.170470E-15
1.019761E+05;1.172910E-15
1.019881E+05;1.180030E-15
1.019911E+05;1.181810E-15
1.019941E+05;1.183590E-15
1.019971E+05;1.185370E-15
1.020000E+05;1.187090E-15
1.020037E+05;1.189290E-15
1.020074E+05;1.191490E-15
1.020111E+05;1.193680E-15
1.020147E+05;1.195820E-15
1.020220E+05;1.200150E-15
1.020257E+05;1.202350E-15
1.020293E+05;1.204480E-15
1.020332E+05;1.206800E-15
1.020370E+05;1.209050E-15
1.020408E+05;1.211310E-15
1.020446E+05;1.213560E-15
1.020485E+05;1.215880E-15
1.020523E+05;1.218140E-15
1.020561E+05;1.220390E-15
1.020599E+05;1.222650E-15
1.020636E+05;1.224840E-15
1.020672E+05;1.226980E-15
1.020709E+05;1.229180E-15
1.020745E+05;1.231310E-15
