Energy [MeV];Cross-Section [barns]
1E-11;2.82021E-07
1.10304E-11;2.68526E-07
1.21669E-11;2.55677E-07
1.34206E-11;2.43443E-07
1.48034E-11;2.31794E-07
1.63287E-11;2.20702E-07
1.80111E-11;2.10142E-07
1.98669E-11;2.00086E-07
2.19139E-11;1.90512E-07
2.41719E-11;1.81396E-07
2.66625E-11;1.72716E-07
2.94097E-11;1.64451E-07
3.244E-11;1.56582E-07
3.57825E-11;1.49089E-07
3.94694E-11;1.41955E-07
4.35362E-11;1.35163E-07
4.80221E-11;1.28695E-07
5.29701E-11;1.22537E-07
5.8428E-11;1.16673E-07
6.44483E-11;1.1109E-07
7.10888E-11;1.05775E-07
7.84136E-11;1.00713E-07
8.64931E-11;9.5894E-08
9.54051E-11;9.13054E-08
1.05235E-10;8.69363E-08
1.16078E-10;8.27764E-08
1.28039E-10;7.88154E-08
1.41231E-10;7.5044E-08
1.55784E-10;7.14531E-08
1.71835E-10;6.8034E-08
1.8954E-10;6.47785E-08
2.0907E-10;6.16788E-08
2.30612E-10;5.87274E-08
2.54374E-10;5.59173E-08
2.80584E-10;5.32416E-08
3.09494E-10;5.06939E-08
3.41383E-10;4.82682E-08
3.76558E-10;4.59585E-08
4.15358E-10;4.37594E-08
4.58155E-10;4.16654E-08
5.05362E-10;3.96717E-08
5.57433E-10;3.77734E-08
6.14869E-10;3.59659E-08
6.78223E-10;3.42449E-08
7.48105E-10;3.26062E-08
8.25188E-10;3.1046E-08
9.10213E-10;2.95604E-08
1.004E-09;2.81459E-08
1.10745E-09;2.67991E-08
1.22155E-09;2.55168E-08
1.34742E-09;2.42958E-08
1.48625E-09;2.31332E-08
1.63939E-09;2.20262E-08
1.80831E-09;2.09723E-08
1.99463E-09;1.99687E-08
2.20016E-09;1.90132E-08
2.42685E-09;1.81034E-08
2.67691E-09;1.72371E-08
2.95273E-09;1.64123E-08
3.25697E-09;1.5627E-08
3.59256E-09;1.48792E-08
3.96272E-09;1.41672E-08
4.37103E-09;1.34893E-08
4.82141E-09;1.28438E-08
5.31819E-09;1.22293E-08
5.86616E-09;1.16441E-08
6.47059E-09;1.10869E-08
7.1373E-09;1.05564E-08
7.87271E-09;1.00512E-08
8.68389E-09;9.57028E-09
9.57865E-09;9.11234E-09
1.05656E-08;8.67631E-09
1.16543E-08;8.26115E-09
1.28551E-08;7.86586E-09
1.41796E-08;7.4895E-09
1.56406E-08;7.13119E-09
1.72522E-08;6.79008E-09
1.90298E-08;6.46539E-09
2.09906E-08;6.15635E-09
2.31534E-08;5.86223E-09
2.52419E-08;5.61496E-09
2.53E-08;5.60852E-09
2.79068E-08;5.34069E-09
3.07823E-08;5.08556E-09
3.3954E-08;4.84245E-09
3.74525E-08;4.61076E-09
4.13115E-08;4.39004E-09
4.55681E-08;4.17988E-09
5.02633E-08;3.97984E-09
5.54423E-08;3.78945E-09
6.11549E-08;3.6082E-09
6.74561E-08;3.43563E-09
7.44066E-08;3.27125E-09
8.20732E-08;3.11461E-09
9.05297E-08;2.96544E-09
9.98577E-08;2.82352E-09
1.10147E-07;2.68849E-09
1.21496E-07;2.5599E-09
1.34014E-07;2.43747E-09
1.47823E-07;2.32093E-09
1.63054E-07;2.20976E-09
1.79855E-07;2.10385E-09
1.98386E-07;2.00317E-09
2.18827E-07;1.9074E-09
2.41375E-07;1.81621E-09
2.66245E-07;1.72925E-09
2.93678E-07;1.64669E-09
3.26223E-07;1.56227E-09
3.59836E-07;1.48734E-09
3.96913E-07;1.41621E-09
4.37809E-07;1.34846E-09
4.86303E-07;1.27961E-09
5.3641E-07;1.21823E-09
5.95854E-07;1.15609E-09
6.61852E-07;1.09677E-09
7.30048E-07;1.04421E-09
8.0527E-07;9.9428E-10
8.88242E-07;9.467E-10
9.86675E-07;8.9838E-10
1.08072E-06;8.5824E-10
1.20048E-06;8.1446E-10
1.34285E-06;7.6992E-10
1.48122E-06;7.3312E-10
1.63384E-06;6.9805E-10
1.80218E-06;6.6462E-10
2.01592E-06;6.2842E-10
2.1927E-06;6.0258E-10
2.43557E-06;5.7181E-10
2.70547E-06;5.4239E-10
2.96333E-06;5.1835E-10
3.24593E-06;4.9528E-10
3.5553E-06;4.732E-10
3.89435E-06;4.5232E-10
4.23585E-06;4.3343E-10
4.77141E-06;4.0858E-10
4.80507E-06;4.0702E-10
5.37494E-06;3.8493E-10
5.41259E-06;3.8347E-10
5.88723E-06;3.6786E-10
5.92876E-06;3.6649E-10
6.40349E-06;3.5272E-10
6.44866E-06;3.5141E-10
6.96502E-06;3.3818E-10
7.01416E-06;3.3692E-10
7.5231E-06;3.2546E-10
7.5758E-06;3.2427E-10
8.35638E-06;3.0859E-10
9.15328E-06;2.9504E-10
9.81744E-06;2.8484E-10
0.000010829;2.7111E-10
1.17786E-05;2.6002E-10
1.27218E-05;2.5017E-10
1.38374E-05;2.3986E-10
1.50508E-05;2.3004E-10
1.66016E-05;2.1893E-10
1.79318E-05;2.1079E-10
1.93676E-05;2.0274E-10
1.95042E-05;2.0208E-10
2.15139E-05;1.9233E-10
2.16646E-05;1.917E-10
2.34005E-05;1.8447E-10
2.54525E-05;1.7687E-10
2.76845E-05;1.6958E-10
2.99012E-05;1.6319E-10
3.32148E-05;1.5478E-10
3.58744E-05;1.4903E-10
3.87489E-05;1.4334E-10
4.30409E-05;1.3597E-10
4.68152E-05;1.3042E-10
5.05663E-05;1.2547E-10
5.53858E-05;1.1989E-10
5.98236E-05;1.1537E-10
6.64498E-05;1.0943E-10
7.12714E-05;1.0572E-10
7.75213E-05;1.0134E-10
8.61121E-05;9.6135E-11
9.30073E-05;9.2519E-11
9.36634E-05;9.2213E-11
0.000101163;8.8709E-11
0.000110034;8.5052E-11
0.000119684;8.1569E-11
0.000132947;7.7368E-11
0.000142593;7.4746E-11
0.000155097;7.1645E-11
0.000172276;6.7968E-11
0.00018608;6.541E-11
0.000202398;6.2716E-11
0.000220147;6.0131E-11
0.000239452;5.7668E-11
0.000265974;5.4699E-11
0.000285273;5.2846E-11
0.000310289;5.0654E-11
0.000344675;4.8052E-11
0.000372274;4.6245E-11
0.000404919;4.4341E-11
0.000440427;4.2513E-11
0.000475716;4.0907E-11
0.000528408;3.8805E-11
0.000566749;3.7489E-11
0.000620797;3.5812E-11
0.000688342;3.4002E-11
0.000743496;3.2723E-11
0.000808694;3.1375E-11
0.000885771;2.998E-11
0.000956744;2.885E-11
0.00105686;2.7439E-11
0.00113355;2.6507E-11
0.00124165;2.5322E-11
0.00137668;2.4043E-11
0.00148699;2.3138E-11
0.00161739;2.2185E-11
0.00177154;2.1199E-11
0.00191349;2.0399E-11
0.00211372;1.9402E-11
0.00226709;1.8744E-11
0.00247954;1.7918E-11
0.00275337;1.7001E-11
0.00297398;1.6361E-11
0.00323478;1.5687E-11
0.00353657;1.5003E-11
0.00380896;1.4457E-11
0.00422745;1.372E-11
0.00453419;1.3254E-11
0.00495908;1.267E-11
0.00550674;1.2021E-11
0.00594797;1.1569E-11
0.00646955;1.1093E-11
0.00707399;1.0608E-11
0.00763274;1.0213E-11
0.00822248;9.8393E-12
0.00913073;9.3351E-12
0.00937243;9.2124E-12
0.00937643;9.2304E-12
0.00937743;9.2655E-12
0.00937843;9.3516E-12
0.00937918;9.4827E-12
0.00937968;9.6221E-12
0.00938018;9.8214E-12
0.00938056;1.0022E-11
0.00938093;1.0277E-11
0.00938131;1.0598E-11
0.00938168;1.0997E-11
0.00938206;1.1487E-11
0.00938231;1.1872E-11
0.00938256;1.2307E-11
0.00938281;1.2798E-11
0.00938306;1.3349E-11
0.00938331;1.3964E-11
0.00938356;1.4646E-11
0.00938381;1.5399E-11
0.00938406;1.6227E-11
0.00938431;1.7132E-11
0.00938456;1.8117E-11
0.00938481;1.9182E-11
0.00938506;2.0329E-11
0.00938544;2.2202E-11
0.00938581;2.4255E-11
0.00938619;2.6479E-11
