Incident energy [eV];Computed function [b]
1.000000E-05;9.178700E-20
1.030046E-05;9.045200E-20
1.060994E-05;8.913700E-20
1.092873E-05;8.784200E-20
1.125709E-05;8.656500E-20
1.159532E-05;8.530800E-20
1.194371E-05;8.406900E-20
1.230257E-05;8.284900E-20
1.267221E-05;8.164700E-20
1.305296E-05;8.046300E-20
1.344515E-05;7.929600E-20
1.384912E-05;7.814700E-20
1.426523E-05;7.701500E-20
1.469384E-05;7.590000E-20
1.513533E-05;7.480100E-20
1.559008E-05;7.371900E-20
1.605850E-05;7.265300E-20
1.654099E-05;7.160300E-20
1.703798E-05;7.056900E-20
1.754990E-05;6.955000E-20
1.807720E-05;6.854600E-20
1.862034E-05;6.755700E-20
1.917981E-05;6.658300E-20
1.975608E-05;6.562400E-20
2.034967E-05;6.467900E-20
2.096109E-05;6.374800E-20
2.159089E-05;6.283100E-20
2.223960E-05;6.192800E-20
2.290781E-05;6.103900E-20
2.359609E-05;6.016300E-20
2.430506E-05;5.930000E-20
2.503533E-05;5.845000E-20
2.578753E-05;5.761200E-20
2.656234E-05;5.678800E-20
2.736043E-05;5.597600E-20
2.818250E-05;5.517600E-20
2.902926E-05;5.438800E-20
2.990147E-05;5.361200E-20
3.079989E-05;5.284800E-20
3.172530E-05;5.209500E-20
3.267851E-05;5.135400E-20
3.366036E-05;5.062400E-20
3.467172E-05;4.990600E-20
3.571346E-05;4.919800E-20
3.678650E-05;4.850100E-20
3.789178E-05;4.781400E-20
3.903027E-05;4.713800E-20
4.020297E-05;4.647200E-20
4.141090E-05;4.581700E-20
4.265513E-05;4.517100E-20
4.393674E-05;4.453600E-20
4.525685E-05;4.391000E-20
4.661664E-05;4.329300E-20
4.801727E-05;4.268700E-20
4.945999E-05;4.208900E-20
5.094606E-05;4.150100E-20
5.247678E-05;4.092200E-20
5.405349E-05;4.035100E-20
5.567757E-05;3.979000E-20
5.735045E-05;3.923700E-20
5.907359E-05;3.869300E-20
6.084851E-05;3.815700E-20
6.267675E-05;3.763000E-20
6.455993E-05;3.711100E-20
6.649969E-05;3.660000E-20
6.849773E-05;3.609700E-20
7.055580E-05;3.560200E-20
7.267571E-05;3.511500E-20
7.485931E-05;3.463500E-20
7.710852E-05;3.416300E-20
7.942531E-05;3.369800E-20
8.181171E-05;3.324100E-20
8.426982E-05;3.279100E-20
8.680178E-05;3.234800E-20
8.940981E-05;3.191200E-20
9.209620E-05;3.148300E-20
9.486331E-05;3.106100E-20
9.771356E-05;3.064600E-20
1.006494E-04;3.023800E-20
1.036735E-04;2.983600E-20
1.067885E-04;2.944000E-20
1.104632E-04;2.899600E-20
1.142644E-04;2.856000E-20
1.181964E-04;2.813300E-20
1.222636E-04;2.771300E-20
1.264709E-04;2.730100E-20
1.308229E-04;2.689700E-20
1.353247E-04;2.650000E-20
1.399813E-04;2.611100E-20
1.447983E-04;2.573000E-20
1.497809E-04;2.535500E-20
1.549351E-04;2.498800E-20
1.602666E-04;2.462800E-20
1.657815E-04;2.427500E-20
1.714863E-04;2.392900E-20
1.773873E-04;2.358900E-20
1.834914E-04;2.325600E-20
1.898056E-04;2.293000E-20
1.963370E-04;2.261000E-20
2.030932E-04;2.229600E-20
2.100819E-04;2.198900E-20
2.173111E-04;2.168800E-20
2.247890E-04;2.139300E-20
2.325243E-04;2.110400E-20
2.405257E-04;2.082000E-20
2.488025E-04;2.054300E-20
2.573641E-04;2.027100E-20
2.662203E-04;2.000500E-20
2.753812E-04;1.974500E-20
2.848574E-04;1.948900E-20
2.946597E-04;1.924000E-20
3.047993E-04;1.899500E-20
3.152878E-04;1.875600E-20
3.261372E-04;1.852200E-20
3.373600E-04;1.829300E-20
3.489689E-04;1.806900E-20
3.609774E-04;1.784900E-20
3.733990E-04;1.763500E-20
3.862481E-04;1.742500E-20
3.995394E-04;1.722000E-20
4.132880E-04;1.702000E-20
4.275097E-04;1.682400E-20
4.422208E-04;1.663300E-20
4.574382E-04;1.644600E-20
4.731792E-04;1.626300E-20
4.915362E-04;1.606300E-20
5.106053E-04;1.586800E-20
5.304143E-04;1.567800E-20
5.509917E-04;1.549300E-20
5.723674E-04;1.531400E-20
5.945724E-04;1.513900E-20
6.176389E-04;1.496900E-20
6.416002E-04;1.480400E-20
6.664911E-04;1.464300E-20
6.923476E-04;1.448700E-20
7.192072E-04;1.433600E-20
7.471089E-04;1.418800E-20
7.760930E-04;1.404600E-20
8.062015E-04;1.390700E-20
8.374782E-04;1.377200E-20
8.699681E-04;1.364200E-20
9.075485E-04;1.350200E-20
9.467523E-04;1.336600E-20
9.876496E-04;1.323500E-20
1.030314E-03;1.310900E-20
1.074820E-03;1.298700E-20
1.121250E-03;1.286900E-20
1.169685E-03;1.275500E-20
1.220212E-03;1.264600E-20
